Date,Average
2016-06-26,35.0
2016-06-27,37.0
2016-06-28,36.0
2016-06-29,35.0
2016-06-30,35.0
2016-07-01,35.0
2016-07-02,37.0
2016-07-03,35.0
2016-07-04,35.0
2016-07-05,35.0
2016-07-06,35.0
2016-07-07,35.0
2016-07-08,35.0
2016-07-09,36.0
2016-07-10,42.0
2016-07-11,42.0
2016-07-12,42.0
2016-07-13,42.0
2016-07-14,42.0
2016-07-15,41.0
2016-07-16,39.0
2016-07-17,40.0
2016-07-18,40.0
2016-07-19,40.0
2016-07-20,41.0
2016-07-21,38.0
2016-07-22,38.0
2016-07-23,37.0
2016-07-24,37.0
2016-07-25,36.0
2016-07-26,36.0
2016-07-27,36.0
2016-07-28,36.0
2016-07-29,36.0
2016-07-30,36.0
2016-07-31,36.0
2016-08-01,36.0
2016-08-02,43.0
2016-08-03,37.0
2016-08-04,38.0
2016-08-05,38.0
2016-08-06,38.0
2016-08-07,38.0
2016-08-08,38.0
2016-08-09,42.0
2016-08-10,42.0
2016-08-11,42.0
2016-08-12,42.0
2016-08-13,42.0
2016-08-14,42.0
2016-08-15,42.0
2016-08-16,42.0
2016-08-17,42.0
2016-08-18,42.0
